verse_reference,chapter_number,text,layout_text,pdf_page,printed_page,bbox,label_present_in_later_edition_csv
6:21-24,6,"These profound verses identify those who advocate “Hadith” and “Sunna” as idolaters who have set up Muhammad as an idol against his will. They invented lies and claimed that they were divine revelations to the prophet (6:21). They vehemently deny that they idolize the prophet, all the way through the day of judgment, even as they face God almighty (6:22-23). They use their invented lies as sources of jurisprudence, to suit their own traditions and superstitions, in total defiance of God and the prophet (see 6:19). On the day of judgment, Muhammad will disown those who idolize him, just as Jesus and the saints will disown those who idolize them (see 6:24,16:86,19:81,36:74, and the Gospel of Matthew 7:23). The true believers uphold the Quran, the whole Quran, and nothing but the Quran, (see 6:114).","These profound verses identify those who advocate “Hadith” and
“Sunna” as idolaters who have set up Muhammad as an idol against his will.
They invented lies and claimed that they were divine revelations to the prophet
(6:21). They vehemently deny that they idolize the prophet, all the way through
the day of judgment, even as they face God almighty (6:22-23). They use their
invented lies as sources of jurisprudence, to suit their own traditions and
superstitions, in total defiance of God and the prophet (see 6:19). On the day of
judgment, Muhammad will disown those who idolize him, just as Jesus and the
saints will disown those who idolize them (see 6:24,16:86,19:81,36:74, and the
Gospel of Matthew 7:23). The true believers uphold the Quran, the whole
Quran, and nothing but the Quran, (see 6:114).",98,86,"[50.0, 1960.919, 1561.257, 2575.15]",False
6:38,6,"The connection between the Quran’s miraculous numerical code, and the rejection of “Hadith”and “Sunna”as satonic inventions, becomes obvious when we realize that this statement (We have left nothing out of this scripture) 0 consists of 19 Arabic letters, the verse number is 38(19* 2), and that verse 19 states that the Quran is the only divine revelation to Muhammad, and that the statement, “He revealed the Quran fully detailed, ” also consists of 19 letters, and is found in verse 114 (19 * 6) of this sura. See also Appendix 16.","The connection between the Quran’s miraculous numerical code, and
the rejection of “Hadith”and “Sunna”as satonic inventions, becomes obvious
when we realize that this statement (We have left nothing out of this scripture)
0
consists of 19 Arabic letters, the verse number is 38(19* 2), and that verse 19
states that the Quran is the only divine revelation to Muhammad, and that the
statement, “He revealed the Quran fully detailed, ” also consists of 19 letters,
and is found in verse 114 (19 * 6) of this sura. See also Appendix 16.",100,88,"[69.0, 1770.31, 1569.239, 2167.1]",True
6:44,6,"The Muslims of today have abandoned the Quran, and adopted the inventions of “Hadith” and “Sunna” in complete defiance of God and the prophet (see 24:1-2, 25:30, Appendices 7, 11,13, & 15). Therefore, it appears that the vast oil wealth given to Saudi Arabia, the Arabian Gulf states, Kuwait, ; Iraq, Iran, Indonesia, and North Africa is in fact a curse that leads to the ; inevitable retribution predicted in this verse. Before the guilty is thrown out the window, he is taken to the tenth floor.","The Muslims of today have abandoned the Quran, and adopted the
inventions of “Hadith” and “Sunna” in complete defiance of God and the
prophet (see 24:1-2, 25:30, Appendices 7, 11,13, & 15). Therefore, it appears
that the vast oil wealth given to Saudi Arabia, the Arabian Gulf states, Kuwait,
; Iraq, Iran, Indonesia, and North Africa is in fact a curse that leads to the
; inevitable retribution predicted in this verse. Before the guilty is thrown out the
window, he is taken to the tenth floor.",100,88,"[51.0, 2163.596, 1572.258, 2564.1]",True
6:56,6,"Before being guided and blessed by God, Muhammad worshiped idols like the rest of his pre-lslamic community (see also 40:66 and 93:7).","Before being guided and blessed by God, Muhammad worshiped idols
like the rest of his pre-lslamic community (see also 40:66 and 93:7).",101,89,"[137.0, 2432.373, 1639.252, 2564.351]",False
6:60,6,"The period between death and resurrection passes on each one of us like one night of sleep, complete with dreams (see also 2:259, 18:19 & 25, and Appendix 14). Since each one of us did in fact experience the first death (see 2:28 and 40:11), we should know exactly how the second and final death will feel like.","The period between death and resurrection passes on each one of us
like one night of sleep, complete with dreams (see also 2:259, 18:19 & 25, and
Appendix 14). Since each one of us did in fact experience the first death (see
2:28 and 40:11), we should know exactly how the second and final death will
feel like.",102,90,"[58.0, 2268.448, 1567.253, 2563.553]",True
6:113,6,"One may grow up in an environment that equates goodness with belief in God and the hereafter. Consequently, this person may profess belief, in order to be good, while in fact his innermost convictions are contrary. God teaches us in these verses that the inventions of “Hadith”and/or “Sunna ” was designed to distinguish the true Muslims from the false Muslims. The true Muslims uphold the Quran, the whole Quran, and nothing but the Quran, as we see in 6:114.","One may grow up in an environment that equates goodness with belief
in God and the hereafter. Consequently, this person may profess belief, in
order to be good, while in fact his innermost convictions are contrary. God
teaches us in these verses that the inventions of “Hadith”and/or “Sunna ” was
designed to distinguish the true Muslims from the false Muslims. The true
Muslims uphold the Quran, the whole Quran, and nothing but the Quran, as
we see in 6:114.",106,94,"[43.0, 2165.28, 1549.248, 2561.959]",False
6:121,6,"Most people underestimate the seriousness of making up lists of prohibitions. We are told here that following the dictates of unauthorized prohibitions, beyond the four Quranic prohibitions, is idolatry. See 5:3, and Appendix 13.","Most people underestimate the seriousness of making up lists of
prohibitions. We are told here that following the dictates of unauthorized
prohibitions, beyond the four Quranic prohibitions, is idolatry. See 5:3, and
Appendix 13.",107,95,"[149.0, 2329.373, 1659.245, 2566.959]",True
6:145-146,6,"Note that when God wants to prohibit “meat,” He specifically prohibits “meat, ” and when He wants to prohibit “fat, ”He specifically prohibits fat (6:146). Unfortunately, most Muslims have gone too far in prohibiting everything remotely related to the pig, including such things as soaps, tooth pastes, and even hair brushes. We must remember that God shows a great deal of displeasure at those who prohibit perfectly lawful things.","Note that when God wants to prohibit “meat,” He specifically
prohibits “meat, ” and when He wants to prohibit “fat, ”He specifically prohibits
fat (6:146). Unfortunately, most Muslims have gone too far in prohibiting
everything remotely related to the pig, including such things as soaps, tooth
pastes, and even hair brushes. We must remember that God shows a great
deal of displeasure at those who prohibit perfectly lawful things.",110,98,"[61.0, 1914.668, 1562.253, 2259.731]",True
6:147,6,It is not mercy or justice when a teacher gives top grades to all the students.,"It is not mercy or justice when a teacher gives top grades to all the
students.",110,98,"[65.0, 2258.668, 1563.261, 2389.78]",False
6:148,6,"Long lists of unauthorized prohibitions are found in the inventions called “Hadith” and/or “Sunna,” which are not more than conjecture and guesswork.","Long lists of unauthorized prohibitions are found in the inventions
called “Hadith” and/or “Sunna,” which are not more than conjecture and
guesswork.",110,98,"[65.0, 2390.668, 1565.247, 2574.689]",False
6:150,6,"Accepting any prohibitions not specifically mentioned in Quran is idolatry. Although they confess belief in the hereafter, verse 113 tells us Otherwise.","Accepting any prohibitions not specifically mentioned in Quran is
idolatry. Although they confess belief in the hereafter, verse 113 tells us
Otherwise.",111,99,"[149.0, 2406.806, 1655.258, 2587.681]",False
6:161,6,"When the false Muslims (see footnote 6:112-116) who follow ‘Hadith” and “Sunna”are faced with the Quranic reality that the Quran shall be the sole source of religious knowledge (6:19,38, &114), their favorite argument is, “If the Quran is complete (see 6:114), where is the description of salat prayers?"" This famous question reveals their ignorance and isolation from Quran. They are obviously unaware of the Quran’s statements that salat mas originally revealed to Abraham, then transmitted to us generation after generation, and that Muhammad prayed according to the religion of Abraham, Islam, before he, Muhammad, was appointed a messenger (see 2:128, 2:135, 3:67-68, 3:95, 4:125, 16:123, 21:73, 22:27, 22:78, and Appendix 8).","When the false Muslims (see footnote 6:112-116) who follow ‘Hadith”
and “Sunna”are faced with the Quranic reality that the Quran shall be the sole
source of religious knowledge (6:19,38, &114), their favorite argument is, “If the
Quran is complete (see 6:114), where is the description of salat prayers?"" This
famous question reveals their ignorance and isolation from Quran. They are
obviously unaware of the Quran’s statements that salat mas originally
revealed to Abraham, then transmitted to us generation after generation, and
that Muhammad prayed according to the religion of Abraham, Islam, before
he, Muhammad, was appointed a messenger (see 2:128, 2:135, 3:67-68, 3:95,
4:125, 16:123, 21:73, 22:27, 22:78, and Appendix 8).",112,100,"[78.0, 2014.919, 1584.749, 2576.15]",False
7:1,7,"See Appendix 1 for details of the Quran’s secret numerical code, and the meaning of these Quranic initials.","See Appendix 1 for details of the Quran’s secret numerical code, and the
meaning of these Quranic initials.",114,102,"[74.0, 2256.668, 1568.229, 2389.731]",True
7:3,7,"Those who worship God alone, follow God's scripture alone. Those who follow anything else as a source of jurisprudence are idol worshipers, as defined by this verse.","Those who worship God alone, follow God's scripture alone. Those who
follow anything else as a source of jurisprudence are idol worshipers, as defined
by this verse.",114,102,"[70.0, 2387.596, 1570.259, 2576.731]",False
7:30,7,"Those who follow and advocate “Hadith” and/or “Sunna” firmly believe that they are righteous, and that they are duely honoring and obeying the prophet! Thus, they are exactly like the Christians who firmly believe that they are duely honoring and obeying Jesus. The Quranic fact, however, is that these people have fallen in Satan's formidable trap, as indicated by this verse (see also 6:112-116).","Those who follow and advocate “Hadith” and/or “Sunna” firmly
believe that they are righteous, and that they are duely honoring and obeying
the prophet! Thus, they are exactly like the Christians who firmly believe that
they are duely honoring and obeying Jesus. The Quranic fact, however, is that
these people have fallen in Satan's formidable trap, as indicated by this verse
(see also 6:112-116).",116,104,"[70.0, 2097.596, 1568.261, 2442.351]",False
7:32,7,"If it is not SPECIFICALLY prohibited in Quran, it must not be prohibited.","If it is not SPECIFICALLY prohibited in Quran, it must not be
prohibited.",116,104,"[69.0, 2442.373, 1568.251, 2574.559]",False
7:37,7,"The followers of “Hadith” are committing both evils; they invent lies then claim that they are divine inspiration, and they reject God’s revelations in this Quran stating clearly that the Quran is complete, perfect, needs no explanation, and shall be the sole source of jurisprudence (see 6:19, 38, 112- 116, and 75:19).","The followers of “Hadith” are committing both evils; they invent lies
then claim that they are divine inspiration, and they reject God’s revelations in
this Quran stating clearly that the Quran is complete, perfect, needs no
explanation, and shall be the sole source of jurisprudence (see 6:19, 38, 112-
116, and 75:19).",117,105,"[152.0, 1832.31, 1653.244, 2122.731]",False
7:38-51,7,"These verses are written in the past tense, like the vast majority of the Quran’s statements. They narrate events that actually took place on the day of judgment, as witnessed by God. Of course, the day of judgment is still in the future for us, but not so for God. Initially, there will be four distinct groups in the hereafter, namely, the high heaven, the lower heaven, the purgatory, and hell. Later, the purgatory will be merged into the lower heaven (see suras 55 and 56, and Appendix 10 for details).","These verses are written in the past tense, like the vast majority of
the Quran’s statements. They narrate events that actually took place on the
day of judgment, as witnessed by God. Of course, the day of judgment is still in
the future for us, but not so for God.
Initially, there will be four distinct groups in the hereafter, namely, the high
heaven, the lower heaven, the purgatory, and hell. Later, the purgatory will be
merged into the lower heaven (see suras 55 and 56, and Appendix 10 for
details).",117,105,"[153.0, 2119.596, 1658.258, 2570.58]",False
7:52,7,"This is another clear verse stating that the Quran is °fully detailed” (see also 6:19, 38, and 114). Those who invent and advocate other sources of religious knowledge, such as Hadith, Sunna, and the works of various “scholars, ” flagrantly defy God and His messenger, and refuse to submit to the truth of the Quran. The true believers, on the other hand, uphold the Quran, the whole Quran, and nothing but the Quran (see footnote 6:112-116).","This is another clear verse stating that the Quran is °fully detailed” (see
also 6:19, 38, and 114). Those who invent and advocate other sources of
religious knowledge, such as Hadith, Sunna, and the works of various
“scholars, ” flagrantly defy God and His messenger, and refuse to submit to the
truth of the Quran. The true believers, on the other hand, uphold the Quran,
the whole Quran, and nothing but the Quran (see footnote 6:112-116).",118,106,"[68.0, 2211.596, 1570.248, 2559.1]",False
7:142,7,"This unique and deliberate way of stating these numbers is directly related to the Quran’s secret numerical code. Since this Quranic miracle is based on numbers, it is only natural that any number mentioned in Quran must be involved. Thus, we find that the Quran contains 285 numbers, and this number is a multiple of 19 (19x15), and the total sum of the 285 numbers is 174,591 which is also a multiple of 19. Even if we remove all repetitions, we find that the remaining total is 162,146 which is a multiple of 19 as well. While other verses state that God summoned Moses for forty nights, this verse contains three numbers, which is necessary to conform with the Quran’s miraculous code (see also 2:51, 2:196, and Appendix 1).","This unique and deliberate way of stating these numbers is directly
related to the Quran’s secret numerical code. Since this Quranic miracle is
based on numbers, it is only natural that any number mentioned in Quran must
be involved. Thus, we find that the Quran contains 285 numbers, and this
number is a multiple of 19 (19x15), and the total sum of the 285 numbers is
174,591 which is also a multiple of 19. Even if we remove all repetitions, we find
that the remaining total is 162,146 which is a multiple of 19 as well. While other
verses state that God summoned Moses for forty nights, this verse contains
three numbers, which is necessary to conform with the Quran’s miraculous
code (see also 2:51, 2:196, and Appendix 1).",124,112,"[61.0, 2018.919, 1564.261, 2578.1]",True
7:143,7,"While God controls everything in the universe to the extent that not even a leaf falls without His knowledge (6:59), our world cannot stand the “physical” presence of God (see also 56:4-6, 69:13-16, suras 81, 82, & 84, and Appendix 10).","While God controls everything in the universe to the extent that not
even a leaf falls without His knowledge (6:59), our world cannot stand the
“physical” presence of God (see also 56:4-6, 69:13-16, suras 81, 82, & 84, and
Appendix 10).",125,113,"[129.0, 2331.596, 1637.269, 2569.351]",False
7:157,7,See the inside front cover of this book.,See the inside front cover of this book.,126,114,"[75.0, 2482.178, 999.5, 2567.595]",True
7:159-171,7,"There is a great parallel between the followers of Moses, and the followers of Muhammad. This explains the fact that the history of Israel is narrated in such detail, and in such frequency throughout the Quran. The parallel becomes incredibly manifest when the reader notes that the followers of Moses invented the Mishnah (oral) and Gemarah (traditions) to overtake God’s scripture, the Torah. The Muslims invented hadith (oral) and sunna (traditions) to overtake Quran (see 24:1-2). Thus, both groups fell into idol worship in an almost identical manner.","There is a great parallel between the followers of Moses, and the
followers of Muhammad. This explains the fact that the history of Israel is
narrated in such detail, and in such frequency throughout the Quran. The
parallel becomes incredibly manifest when the reader notes that the followers
of Moses invented the Mishnah (oral) and Gemarah (traditions) to overtake
God’s scripture, the Torah. The Muslims invented hadith (oral) and sunna
(traditions) to overtake Quran (see 24:1-2). Thus, both groups fell into idol
worship in an almost identical manner.",127,115,"[131.0, 2210.596, 1638.256, 2660.959]",False
7:179,7,See the Gospel of Matthew 13:13-16.,See the Gospel of Matthew 13:13-16.,129,117,"[122.0, 2144.668, 1013.244, 2233.392]",False
7:180,7,"Among the common inventions are the so-called “99 names of God, ” many of which are not mentioned in Quran. Not to be outdone, those who idolize the prophet Muhammad against his will have invented 201 names of Muhammad. These names, dutyfully engraved on the walls of the prophet’s mosque in Medina, include some of God’s own exclusive names, such as “Al- Muhaymin = the Supreme Being, ” and “Al-Shaafee = The Healer. ”","Among the common inventions are the so-called “99 names of God, ”
many of which are not mentioned in Quran. Not to be outdone, those who
idolize the prophet Muhammad against his will have invented 201 names of
Muhammad. These names, dutyfully engraved on the walls of the prophet’s
mosque in Medina, include some of God’s own exclusive names, such as “Al-
Muhaymin = the Supreme Being, ” and “Al-Shaafee = The Healer. ”",129,117,"[122.0, 2227.086, 1631.243, 2570.1]",False
7:189-197,7,"Idols can be your children as shown here, or your spouse, or your leader, or your supervisor, or your own properties (see 18-42). Anything that takes priority over your creator's commandments is an idol.","Idols can be your children as shown here, or your spouse, or your
leader, or your supervisor, or your own properties (see 18-42). Anything that
takes priority over your creator's commandments is an idol.",130,118,"[74.0, 2373.97, 1578.241, 2559.731]",False
7:203,7,"See the Bible's Deuteronomy 18:18, John 12:49 & 16:13.","See the Bible's Deuteronomy 18:18, John 12:49 & 16:13.",131,119,"[141.0, 2475.191, 1409.996, 2561.909]",False
8:17,8,"See Deuteronomy 20:4. » Therefore, if the righteous are too passive to preach the word of God, prohibit evil, and advocate righteousness, they will suffer along with their corrupt community.","See Deuteronomy 20:4.
» Therefore, if the righteous are too passive to preach the word of God,
prohibit evil, and advocate righteousness, they will suffer along with their
corrupt community.",133,121,"[130.0, 2118.408, 1636.255, 2365.959]",True
8:27,8,The greatest betrayal of Muhammad is the invention of “Hadith” and “Sunna ” against his own instructions and the divine teachings of Quran (see Appendix 11).,"The greatest betrayal of Muhammad is the invention of “Hadith” and
“Sunna ” against his own instructions and the divine teachings of Quran (see
Appendix 11).",133,121,"[133.0, 2381.664, 1639.259, 2550.731]",False
8:35,8,"Many Muslims erroneously believe that the salat prayers were first revealed through Muhammad. The Quran, however, teaches us that salat was first revealed to Abraham, then transmitted to us generation after generation (see for example 2:4, 2:128:, 2:135, 2:142, 3:67-68, 3:95, 4:125, 16:123, 21:73, 22:27,22:78, and 73:20). Those who refuse to believe God’s statements that the Quran is complete and perfect (6:19, 38, 114), as well as the ignorant, frequently ask the question, “If the Quran is complete, where is the description of salat?""","Many Muslims erroneously believe that the salat prayers were first
revealed through Muhammad. The Quran, however, teaches us that salat was
first revealed to Abraham, then transmitted to us generation after generation
(see for example 2:4, 2:128:, 2:135, 2:142, 3:67-68, 3:95, 4:125, 16:123, 21:73,
22:27,22:78, and 73:20). Those who refuse to believe God’s statements that the
Quran is complete and perfect (6:19, 38, 114), as well as the ignorant,
frequently ask the question, “If the Quran is complete, where is the description
of salat?""",134,122,"[74.0, 2093.191, 1582.263, 2541.129]",True
08:46,8,"Those who obey God and His messenger uphold the Quran, the whole I Quran, and nothing but the Quran (see 5:48-50,17:73-75). On the other hand, those who advocate “Hadith” and/or “Sunna” disobey God and disobey the prophet and idolize him against his will, just like the Christians who idolize Jesus and claim that they love him.","Those who obey God and His messenger uphold the Quran, the whole
I Quran, and nothing but the Quran (see 5:48-50,17:73-75). On the other hand,
those who advocate “Hadith” and/or “Sunna” disobey God and disobey the
prophet and idolize him against his will, just like the Christians who idolize
Jesus and claim that they love him.",135,123,"[77.0, 2274.448, 1626.255, 2566.731]",False
9:1,9,"This is the on/y sura that does not begin with the opening statement, “In the name of God, most gracious, most merciful. ” This fact puzzled the students of Quran throughout the last 14 centuries, and many theories were advanced to explain the absence of “Basmalah ""from this sura. As it turned out, this is an integral part of the Quran’s miraculous code that remained a divinely guarded secret until this very translation came into existence, and represented God’s authorization of this translation. As the reader already knows (from Appendices 1 & 2), the Quran’s code is based on the number 19, and its foundation is the opening statement “In the name of God, most gracious, most merciful,’’ which consists of 19 Arabic letter. Since the Quran consists of 114 suras (19x6), and since the absence of “Basmalah” will violate the code by having only 113 opening statements, we find that this deficiency is compensated in sura 27, which contains two “Basmalahs ” (see 27:30). Not only do we find that the additional statement in 27:30 perfecting the frequency of the opening statement, but also providing additional proof that the order of suras is divinely designed, and should never be tampered with. To find out this additional proof, the reader is requested to count the suras starting here at sura 9, and ending at sura 27. Glory be to God, the almighty, most exalted.","This is the on/y sura that does not begin with the opening statement, “In
the name of God, most gracious, most merciful. ” This fact puzzled the students
of Quran throughout the last 14 centuries, and many theories were advanced
to explain the absence of “Basmalah ""from this sura. As it turned out, this is an
integral part of the Quran’s miraculous code that remained a divinely guarded
secret until this very translation came into existence, and represented God’s
authorization of this translation. As the reader already knows (from
Appendices 1 & 2), the Quran’s code is based on the number 19, and its
foundation is the opening statement “In the name of God, most gracious, most
merciful,’’ which consists of 19 Arabic letter. Since the Quran consists of 114
suras (19x6), and since the absence of “Basmalah” will violate the code by
having only 113 opening statements, we find that this deficiency is
compensated in sura 27, which contains two “Basmalahs ” (see 27:30). Not
only do we find that the additional statement in 27:30 perfecting the frequency
of the opening statement, but also providing additional proof that the order of
suras is divinely designed, and should never be tampered with. To find out this
additional proof, the reader is requested to count the suras starting here at
sura 9, and ending at sura 27. Glory be to God, the almighty, most exalted.",138,126,"[34.0, 1598.779, 1545.999, 2581.976]",True
9:36,9,"See also 5:1, 2, 94, 95, & 96.","See also 5:1, 2, 94, 95, & 96.",141,129,"[160.0, 2513.494, 862.995, 2601.13]",True
10:3,10,"Intercession on the day of judgment will be accepted only if it happens to coincide with God’s decision (see 21:28 and Appendix 7). In effect, there is no such thing as intercession (see 2:254).","Intercession on the day of judgment will be accepted only if it happens to
coincide with God’s decision (see 21:28 and Appendix 7). In effect, there is no
such thing as intercession (see 2:254).",150,138,"[78.0, 2396.494, 1579.997, 2581.939]",False
10:36-37,10,"Even the most enthusiastic advocates o/‘Hadith ”and/or“Sunna” admit that they follow only conjecture; that they are never sure whether the source of ‘Hadith” or a “Sunna” is actually the prophet or some inventor. On the other hand, the reader of Quran is handed physical, indisputable proof that it is God’s message to the world (see Appendix 1).","Even the most enthusiastic advocates o/‘Hadith ”and/or“Sunna”
admit that they follow only conjecture; that they are never sure whether the
source of ‘Hadith” or a “Sunna” is actually the prophet or some inventor. On
the other hand, the reader of Quran is handed physical, indisputable proof that
it is God’s message to the world (see Appendix 1).",153,141,"[145.0, 2289.373, 1652.26, 2577.351]",False
10:59-60,10,"God is extremely displeased with those who prohibit perfectly lawful provisions. Unless something is “specifically” prohibited in Quran, it must never be considered “haram” (prohibited). Please see footnote 6:145 and Appendix 13.","God is extremely displeased with those who prohibit perfectly
lawful provisions. Unless something is “specifically” prohibited in Quran, it
must never be considered “haram” (prohibited). Please see footnote 6:145
and Appendix 13.",155,143,"[138.0, 2358.97, 1647.24, 2597.351]",False
10:91,10,"Although Pharaoh actually belieued in God as he was drowning, this was not sufficient for his salvation (see 2:62,32:29, & 40:85). Believing in God is only the first, though the most important, step. We need to nourish, sustain, and develop our souls through the acts of worship and righteous works. Following his sincere belief, Pharaoh did not have time to grow and develop (see 7:8, 23:102, 101:6, and Appendix 10).","Although Pharaoh actually belieued in God as he was drowning, this
was not sufficient for his salvation (see 2:62,32:29, & 40:85). Believing in God is
only the first, though the most important, step. We need to nourish, sustain,
and develop our souls through the acts of worship and righteous works.
Following his sincere belief, Pharaoh did not have time to grow and develop
(see 7:8, 23:102, 101:6, and Appendix 10).",157,145,"[129.0, 1537.373, 1634.252, 1883.809]",True
10:92,10,"This is another profound Quranic miracle. Pharaoh’s body was indeed preserved, and can be viewed today in the Mummies Room of the Cairo Museum. The ancient Egyptians were exclusively gifted with the science of mummification.","This is another profound Quranic miracle. Pharaoh’s body was indeed
preserved, and can be viewed today in the Mummies Room of the Cairo
Museum. The ancient Egyptians were exclusively gifted with the science of
mummification.",157,145,"[130.0, 1906.596, 1640.234, 2144.486]",True
10:94-95,10,"Muhammad the man is instructed here to follow Muhammad the messenger, and the distinction becomes even clearer in 33:37, where Muhammad the man actually disobeys Muhammad the messenger. The Quran teaches us that Muhammad the messenger is infallible, because he utters only the Quran. On the other hand, Muhammad the man is a human being like you and me, who is required to uphold the Quran, the whole Quran, and nothing but the Quran (see 6:50, 10:49, 18:110, and 41:6).","Muhammad the man is instructed here to follow Muhammad the
messenger, and the distinction becomes even clearer in 33:37, where
Muhammad the man actually disobeys Muhammad the messenger. The
Quran teaches us that Muhammad the messenger is infallible, because he
utters only the Quran. On the other hand, Muhammad the man is a human
being like you and me, who is required to uphold the Quran, the whole Quran,
and nothing but the Quran (see 6:50, 10:49, 18:110, and 41:6).",157,145,"[132.0, 2173.97, 1635.264, 2571.809]",False
10:99-100,10,See Appendix 12.,See Appendix 12.,158,146,"[65.0, 2486.668, 647.248, 2575.392]",False
11:1,11,See footnote 10:1. This verse states that the Quranic initials bear the proof that the verses of Quran are perfectly designed by the almighty.,"See footnote 10:1. This verse states that the Quranic initials bear the
proof that the verses of Quran are perfectly designed by the almighty.",159,147,"[121.0, 2031.596, 1625.239, 2166.351]",True
11:2,11,"This is the “First Commandment, ,!and it is a “negative” commandment stating that “You shall NOT worship other than God.” This is because a “positive”commandment stating that “You shall worship God,” does not necessarily guarantee salvation; one can worship God, and still go to hell. Those who worship God, and idolize Jesus, or Muhammad, or the saints, will inevitably end up in hell (see footnote 41:14 and verses 23:84-89). Note that it is the Quran that says, “1 come to you as a wamer. ”","This is the “First Commandment, ,!and it is a “negative” commandment
stating that “You shall NOT worship other than God.” This is because a
“positive”commandment stating that “You shall worship God,” does not
necessarily guarantee salvation; one can worship God, and still go to hell.
Those who worship God, and idolize Jesus, or Muhammad, or the saints, will
inevitably end up in hell (see footnote 41:14 and verses 23:84-89). Note that it
is the Quran that says, “1 come to you as a wamer. ”",159,147,"[123.0, 2191.596, 1628.266, 2589.809]",False
11:19,11,"See verse 6:113, and footnote 6:112-116.","See verse 6:113, and footnote 6:112-116.",160,148,"[79.0, 2489.668, 1029.237, 2578.392]",False
11:26,11,See footnote 11:2.,See footnote 11:2.,161,149,"[133.0, 2488.668, 645.252, 2577.392]",False
11:46,11,See 9:113-114,See 9:113-114,162,150,"[55.0, 2488.494, 484.755, 2576.13]",True
12:1,12,"See Appendix 1 for details of the Quran’s miraculous secret numerical code involving these letters. One of the miraculous features of Quran is the use of multiple-meaning words. One such word is “Ayat. ” This word has at least three different meanings, namely, “sign” (see for example 2:164), “verse” (see for example 2:99), and “miracle” (see for example 17:101). In this way, various generations of people can derive the meaning that perfectly suits each one of them. Before the discovery of the Quran’s secret numerical code, the word “ayat” in verse 12:1 was understood to mean “verses” and to apply to the verses of Quran in general. However, now that the significance of these letters is unveiled, we find that the suitable meaning of the word “ayat” is ’’miracles.” Two facts pin down the meaning of this verse to what you see in this translation: (1) this expression is used exclusively with Quranic initials such as these A.L.R. (see also 13:1, 15:1, 26:2, 27:1, 28:2, & 31:2), and (2) the Arabic word commonly used for “miracle, ” namely, “Mu ’jizah ” is never mentioned in the Quran. 12:2 The word “you"" in this verse applies to all the people of the world, regardless of their mother tongue. See Appendix 3 for details.","See Appendix 1 for details of the Quran’s miraculous secret numerical
code involving these letters. One of the miraculous features of Quran is the use
of multiple-meaning words. One such word is “Ayat. ” This word has at least
three different meanings, namely, “sign” (see for example 2:164), “verse” (see
for example 2:99), and “miracle” (see for example 17:101). In this way, various
generations of people can derive the meaning that perfectly suits each one of
them. Before the discovery of the Quran’s secret numerical code, the word
“ayat” in verse 12:1 was understood to mean “verses” and to apply to the
verses of Quran in general. However, now that the significance of these letters
is unveiled, we find that the suitable meaning of the word “ayat” is ’’miracles.”
Two facts pin down the meaning of this verse to what you see in this
translation:
(1) this expression is used exclusively with Quranic initials such as these
A.L.R. (see also 13:1, 15:1, 26:2, 27:1, 28:2, & 31:2), and
(2) the Arabic word commonly used for “miracle, ” namely, “Mu ’jizah ” is never
mentioned in the Quran.
12:2 The word “you"" in this verse applies to all the people of the world,
regardless of their mother tongue. See Appendix 3 for details.",168,156,"[66.0, 1544.494, 1576.0, 2550.294]",True
12:15,12,"This is a classic example of the perfect happiness and contentment of God’s sincere servants. In this example, Joseph appears to the outsiders to be in deep trouble. But inside, he had received his Lord’s assurances that everything will be allright.","This is a classic example of the perfect happiness and contentment of
God’s sincere servants. In this example, Joseph appears to the outsiders to be
in deep trouble. But inside, he had received his Lord’s assurances that
everything will be allright.",169,157,"[143.0, 2070.448, 1648.004, 2309.812]",False
12:23,12,"Note the incredibly clever answer that bears a double meaning. To the lady, it sounded as if Joseph was talking about her husband. But Joseph was talking about God. This is one example of the Quran’s superb and extraordinary literary style.","Note the incredibly clever answer that bears a double meaning. To the
lady, it sounded as if Joseph was talking about her husband. But Joseph was
talking about God. This is one example of the Quran’s superb and
extraordinary literary style.",169,157,"[143.0, 2311.191, 1648.997, 2547.812]",True
12:40,12,See footnote 11:2. \,"See footnote 11:2.
\",171,159,"[149.0, 2486.494, 662.996, 2668.201]",False
12:67,12,"A myth that still dominates the Middle East is that known as “the euil eye. ’’Jacob was afraid that if his eleven sons entered from one door, they may be stricken by the “euil eye.”According to this legend, the “evil eye”can kill its victim. Tourists who visit certain areas of the Middle East may be aware of the natives’ wariness of people who admire or praise their children and/or properties.","A myth that still dominates the Middle East is that known as “the euil
eye. ’’Jacob was afraid that if his eleven sons entered from one door, they may
be stricken by the “euil eye.”According to this legend, the “evil eye”can kill its
victim. Tourists who visit certain areas of the Middle East may be aware of the
natives’ wariness of people who admire or praise their children and/or
properties.",173,161,"[150.0, 2215.191, 1655.007, 2560.669]",False
12:86,12,Jacob knew from Joseph’s dream in 12:4 that the family will be reunited some day.,"Jacob knew from Joseph’s dream in 12:4 that the family will be
reunited some day.",174,162,"[68.0, 2350.494, 1565.998, 2481.199]",False
12:96,12,See footnote 12:86.,See footnote 12:86.,174,162,"[68.0, 2482.494, 604.002, 2570.13]",False
