Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote	VerseId
LUK	21	34	se3c	figs-hendiadys	κρεπάλῃ, καὶ μέθῃ	1	hangover and drunkenness	This phrase expresses a single idea by using two words connected with **and.** The term **drunkenness** explains the source of the **hangover**. Alternate translation: “drunken hangovers” (See: [[rc://en/ta/man/translate/figs-hendiadys]])	LUK 21:34
LUK	21	34	x8jh	figs-personification	ἐπιστῇ ἐφ’ ὑμᾶς αἰφνίδιος ἡ ἡμέρα ἐκείνη	1	that sudden day will come upon you	Jesus speaks figuratively of this **day** as if it could actively spring upon his disciples like a trap. (The traditional verse divisions put the phrase “like a trap” at the start of the next verse. A note will discuss it there.) This could mean one of two things, depending on whether **sudden** is understood as an adjective or with the sense of an adverb. Alternate translation: “that day you are not expecting will come upon you” or “that day will come upon you suddenly” (See: [[rc://en/ta/man/translate/figs-personification]])	LUK 21:34
LUK	21	34	r486	figs-explicit	καὶ ἐπιστῇ ἐφ’ ὑμᾶς αἰφνίδιος ἡ ἡμέρα ἐκείνη	1	and that sudden day will come upon you	The implication is that this is why Jesus is telling his disciples to pay attention to themselves. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “for if you are not careful, that day you are not expecting will come upon you” or “for if you are not careful, that day will come upon you suddenly” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 21:34
LUK	21	34	q6ph	figs-explicit	καὶ ἐπιστῇ ἐφ’ ὑμᾶς αἰφνίδιος ἡ ἡμέρα ἐκείνη	1	and that sudden day will come upon you	This implicitly means the day when Jesus will return. Alternate translation: “the day when I return, which you will not be expecting, will come upon you” or “the day when I return will come upon you suddenly” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 21:34
LUK	21	35	m483	figs-simile	ὡς παγίς	1	like a trap	Jesus says figuratively that just as a **trap** closes on an animal when the animal is not expecting it, so he will return when people are not expecting it. Alternate translation: “as when a trap closes suddenly on an animal” (See: [[rc://en/ta/man/translate/figs-simile]])	LUK 21:35
LUK	21	35	m484	figs-metaphor	τοὺς καθημένους	1	who are sitting	Jesus speaks figuratively of **sitting** to mean “living.” Alternate translation: “who are living” (See: [[rc://en/ta/man/translate/figs-metaphor]])	LUK 21:35
LUK	21	35	ry3f	figs-metaphor	ἐπὶ πρόσωπον πάσης τῆς γῆς	1	on the face of the whole earth	Jesus speaks figuratively of the surface of the **earth** as if it were the outward part or **face** of a person. Alternate translation: “on the surface of the whole earth” or “all over the entire earth” (See: [[rc://en/ta/man/translate/figs-metaphor]])	LUK 21:35
LUK	21	36	m4l4	figs-hyperbole	ἀγρυπνεῖτε…ἐν παντὶ καιρῷ	1	stay awake in every time	The expression **in every time** means “all the time” or “always.” Jesus is using it figuratively, as a generalization. Alternate translation: “continue to watch” (See: [[rc://en/ta/man/translate/figs-hyperbole]])	LUK 21:36
LUK	21	36	m485	figs-metaphor	ἀγρυπνεῖτε	1	stay awake	Jesus is using this expression in a figurative sense. Alternate translation: “stay alert” or “watch” (See: [[rc://en/ta/man/translate/figs-metaphor]])	LUK 21:36
LUK	21	36	m486	figs-explicit	ἀγρυπνεῖτε	1	stay awake	The implication is that Jesus is telling his disciples to do this so that they will not be surprised when he returns. Alternate translation: “watch for the signs of my coming” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 21:36
LUK	21	36	m487	figs-metaphor	καὶ σταθῆναι ἔμπροσθεν τοῦ Υἱοῦ τοῦ Ἀνθρώπου	1	and to stand before the Son of Man	Here, **before** means “in front of” or “in the presence of” another person. Alternate translation: “and to stand in the presence of the Son of Man” (See: [[rc://en/ta/man/translate/figs-metaphor]])	LUK 21:36
LUK	21	36	h83d	figs-metaphor	καὶ σταθῆναι ἔμπροσθεν τοῦ Υἱοῦ τοῦ Ἀνθρώπου	1	and to stand before the Son of Man	Here, **stand** is an idiom that means to be declared innocent when judged, as in [Psalm 130:3](../psa/130/03.md), “If you, Yahweh, would mark iniquities, Lord, who could stand?” (That is, “If you, Yahweh, kept a record of sins, no one would be declared innocent.”) Jesus is referring to the time when he will judge everyone. Alternate translation: “and so that the Son of Man will declare you innocent” (See: [[rc://en/ta/man/translate/figs-metaphor]])	LUK 21:36
LUK	21	36	m488	figs-123person	τοῦ Υἱοῦ τοῦ Ἀνθρώπου	1	the Son of Man	Jesus is referring to himself in the third person. If your readers would misunderstand this, you could translate this in the first person. Alternate translation: “me, the Son of Man” or “I, the Son of Man” (See: [[rc://en/ta/man/translate/figs-123person]])	LUK 21:36
LUK	21	36	m489	figs-explicit	τοῦ Υἱοῦ τοῦ Ἀνθρώπου	1	the Son of Man	See how you translated the title **Son of Man** in [5:24](../05/24.md). Alternate translation: “me, the Messiah” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 21:36
LUK	21	37	zh1m	figs-synecdoche	ἐν τῷ ἱερῷ	1	in the temple	Only priests were allowed to enter the **temple** building, so Luke means that Jesus was teaching in the temple courtyard. Luke is using the word for the entire building to refer to one part of it. Alternate translation: “in the temple courtyard” (See: [[rc://en/ta/man/translate/figs-synecdoche]])	LUK 21:37
LUK	21	37	m490	figs-activepassive	τὸ ὄρος τὸ καλούμενον Ἐλαιῶν	1	the hill that is called Olivet	If your readers would misunderstand this, you could express this with an active form. Alternate translation: “the hill that people call Olivet” (See: [[rc://en/ta/man/translate/figs-activepassive]])	LUK 21:37
LUK	21	38	m492	figs-hyperbole	πᾶς ὁ λαὸς	1	all the people	The word **all** is a generalization that emphasizes how many people came to hear Jesus teach each morning. Alternate translation: “large numbers of people” (See: [[rc://en/ta/man/translate/figs-hyperbole]])	LUK 21:38
LUK	21	38	bky8	figs-ellipsis	ὤρθριζεν πρὸς αὐτὸν	1	were getting up early to him	Here Luke is leaving out some words that in many languages a sentence would need in order to be complete. Alternate translation: “were getting up early to come to him” or “were coming to him starting early each morning” (See: [[rc://en/ta/man/translate/figs-ellipsis]])	LUK 21:38
LUK	21	38	cbx2	figs-explicit	ἀκούειν αὐτοῦ	1	to hear him	The implication is that the people wanted to **hear** Jesus teach. Alternate translation: “to listen to him teach” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 21:38
LUK	21	38	m493	figs-synecdoche	ἐν τῷ ἱερῷ	1	in the temple	Only priests were allowed to enter the **temple** building, so Luke figuratively means the temple courtyard. Alternate translation: “in the temple courtyard” (See: [[rc://en/ta/man/translate/figs-synecdoche]])	LUK 21:38
LUK	22	1	jjy9	figs-explicit	ἡ ἑορτὴ τῶν Ἀζύμων	1	the Festival of Unleavened Bread	During this festival the Jews did not eat bread that was made with yeast. You could translate this as either a description or as a name. Alternate translation: “the festival during which the Jews did not eat any bread that was made with yeast” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:1
LUK	22	1	m494	figs-activepassive	ἡ λεγομένη Πάσχα	1	which is called the Passover	If your readers would misunderstand this, you could express this with an active form. Alternate translation: “which people call Passover” (See: [[rc://en/ta/man/translate/figs-activepassive]])	LUK 22:1
LUK	22	2	n9v6	figs-explicit	τὸ πῶς ἀνέλωσιν αὐτόν	1	how they might kill him	These leaders did not have the authority to kill Jesus themselves. Rather, they were hoping to get others to kill him. Alternate translation: “how they might cause Jesus to be put to death” or “how they could have Jesus killed” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:2
LUK	22	2	aij5	figs-explicit	ἐφοβοῦντο γὰρ τὸν λαόν	1	for they were fearing the people	These leaders were not trying to have Jesus killed because they were afraid of **the people**. Rather, they were **seeking how** to have him killed, by implication quietly, because they were afraid that the people would make a great disturbance if they did this publicly. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “quietly, because they were afraid that the people would riot if they did it publicly” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:2
LUK	22	2	m497	figs-explicit	τὸν λαόν	1	the people	This means specifically the great crowds of people who had been coming to hear Jesus teach, as Luke describes in [21:38](../21/38.md). Alternate translation: “the many people who were coming to hear him teach” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:2
LUK	22	3	m500	figs-activepassive	τὸν καλούμενον Ἰσκαριώτην	1	the one called Iscariot	If your readers would misunderstand this, you could express this with an active form. Alternate translation: “whom people called Iscariot” (See: [[rc://en/ta/man/translate/figs-activepassive]])	LUK 22:3
LUK	22	3	m501	figs-nominaladj	ὄντα ἐκ τοῦ ἀριθμοῦ τῶν δώδεκα	1	who was from the number of the Twelve	See how you translated this in [8:1](../08/01.md). You may have decided to translate the nominal adjective **Twelve** with an equivalent phrase. Alternate translation: “who was one of the 12 disciples whom Jesus had appointed to be apostles” (See: [[rc://en/ta/man/translate/figs-nominaladj]])	LUK 22:3
LUK	22	4	qpi4	figs-explicit	στρατηγοῖς	1	captains	The temple had its own guards, and these were their commanding officers. Alternate translation: “captains of the temple guard” or “temple military officers” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:4
LUK	22	5	usn7	figs-metonymy	αὐτῷ ἀργύριον δοῦναι	1	to give him silver	Luke is speaking figuratively of money by reference to the precious metal, **silver**, that gives it its value. Alternate translation: “to pay Judas money for doing this” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:5
LUK	22	7	veh1	figs-explicit	ἡ ἡμέρα τῶν Ἀζύμων	1	the Day of Unleavened Bread	This was the first day of the seven-day festival described in [22:1](../22/01.md). You could translate this as either a description or as a name, depending on what you did there. Alternate translation: “the first day of the Festival of Unleavened Bread” or “the day when the Jews removed all bread made with yeast from their homes” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:7
LUK	22	7	rqi1	figs-metonymy	ἔδει θύεσθαι τὸ Πάσχα	1	it was necessary to sacrifice the Passover	Luke is using the name of this part of the festival, **Passover**, to refer figuratively to the lamb that the law of Moses told Jews to kill and eat for their celebration meal. Alternate translation: “people had to kill a lamb for their Passover meal” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:7
LUK	22	8	m504	figs-youdual	πορευθέντες, ἑτοιμάσατε	1	Going, prepare	Since Jesus is speaking to two men, **you** as implied in the participle and imperative verb would be in the dual, if your language uses that form. Otherwise, it would be plural. (See: [[rc://en/ta/man/translate/figs-youdual]])	LUK 22:8
LUK	22	8	nkz4	figs-explicit	πορευθέντες	1	Going	The implication is that Jesus is sending Peter and John into the city of Jerusalem to do this. If it would be helpful to your readers, you could state that explicitly. Your language might translate this as an imperative. Alternate translation: “Go into the city of Jerusalem and” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:8
LUK	22	8	e4ev	figs-exclusive	ἡμῖν…ἵνα φάγωμεν	1	us … that we may eat	Peter and John would be part of the group that would eat the meal, so the terms **us** and **we** would be inclusive, if your language marks that distinction. (See: [[rc://en/ta/man/translate/figs-exclusive]])	LUK 22:8
LUK	22	8	m505	figs-metonymy	τὸ Πάσχα	1	the Passover	Jesus is using the name of this part of the festival, **Passover**, to refer figuratively to the meal that people shared on that occasion. Alternate translation: “the Passover meal” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:8
LUK	22	9	j52e	figs-exclusive	θέλεις ἑτοιμάσωμεν	1	do you wish that we should prepare it	Jesus was not part of the group that would prepare the meal, so the word **we** does not include Jesus and it would be exclusive, if your language marks that distinction. (See: [[rc://en/ta/man/translate/figs-exclusive]])	LUK 22:9
LUK	22	9	s8yw	figs-verbs	ἑτοιμάσωμεν	1	that we should prepare it	Peter and John are speaking as a group of two, so this verb would be in the dual form if your language uses that form. (See: [[rc://en/ta/man/translate/figs-verbs]])	LUK 22:9
LUK	22	10	um6z	figs-youdual	αὐτοῖς…ὑμῶν…ὑμῖν…ἀκολουθήσατε	1	them … you … you … follow	Since Jesus is speaking to two men, the pronouns **them** and **you** and the implied **you** in the imperative verb would all be in the dual form, if your language uses that form. Otherwise, they would be plural. (See: [[rc://en/ta/man/translate/figs-youdual]])	LUK 22:10
LUK	22	10	c13w	figs-metaphor	ἰδοὺ	1	Behold	Jesus uses this word to tell Peter and John to pay close attention to what he is saying and to do exactly what he tells them. It may be helpful to explain the meaning of the word more fully and to do so as a separate sentence. Alternate translation: “Now pay close attention to these instructions” (See: [[rc://en/ta/man/translate/figs-metaphor]])	LUK 22:10
LUK	22	11	khy9	figs-quotesinquotes	ἐρεῖτε τῷ οἰκοδεσπότῃ τῆς οἰκίας, λέγει σοι ὁ διδάσκαλος, ποῦ ἐστιν τὸ κατάλυμα, ὅπου τὸ Πάσχα μετὰ τῶν μαθητῶν μου φάγω?	1	say to the master of the house, ‘The Teacher says to you, “Where is the guest room where I may eat the Passover with my disciples?”’	If your readers would misunderstand this, you could translate this so that there is not a quotation within a quotation and then another quotation within that one. Alternate translation: “tell the owner of the house that the Teacher wants to know where the guest room is where he can eat the Passover meal with his disciples” (See: [[rc://en/ta/man/translate/figs-quotesinquotes]])	LUK 22:11
LUK	22	11	pq8q	figs-metonymy	τὸ Πάσχα	1	the Passover	Jesus is telling Peter and John to use the name of this part of the festival, **Passover**, to refer figuratively to the meal that people shared on that occasion. Alternate translation: “the Passover meal” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:11
LUK	22	12	m506	figs-activepassive	ἐστρωμένον	1	furnished	This is a passive verbal form. If your language does not use such forms, you can translate this with an equivalent expression. Alternate translation: “that has carpets, dining couches, and a dining table” (See: [[rc://en/ta/man/translate/figs-activepassive]])	LUK 22:12
LUK	22	13	g9ty	figs-explicit	ἀπελθόντες	1	they went	The implication is that these two disciples went into the city of Jerusalem, as Jesus had told them to do. Alternate translation: “Peter and John went into the city of Jerusalem” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:13
LUK	22	13	m508	figs-metonymy	τὸ Πάσχα	1	the Passover	Luke is using the name of this part of the festival, **Passover**, to refer figuratively to the meal that people shared on that occasion. Alternate translation: “the Passover meal” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:13
LUK	22	14	j1dn	figs-idiom	ὅτε ἐγένετο ἡ ὥρα	1	when the hour came	Luke is using the term **hour** figuratively to refer to a specific time. Alternate translation: “when it was time for the meal” (See: [[rc://en/ta/man/translate/figs-idiom]])	LUK 22:14
LUK	22	15	hue3	figs-explicitinfo	ἐπιθυμίᾳ ἐπεθύμησα	1	With desire I have desired	Jesus is using a characteristic Hebrew construction, a cognate noun with a verb, to express intensity. If your language has this same construction, you can use it here. But if this construction would seem to express unnecessary extra information in your language, you could show the emphasis in another way. Alternate translation: “I have wanted very much” (See: [[rc://en/ta/man/translate/figs-explicitinfo]])	LUK 22:15
LUK	22	15	m509	figs-metonymy	τοῦτο τὸ Πάσχα	1	this Passover	Jesus is using the name of this part of the festival, **Passover**, to refer figuratively to the meal that people shared on that occasion. Alternate translation: “this Passover meal” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:15
LUK	22	15	s1sj	figs-metonymy	πρὸ τοῦ με παθεῖν	1	before I suffer	Jesus is referring figuratively to his death by association with the way that he will **suffer** much pain and shame as he is dying. Alternate translation: “before I experience a painful death” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:15
LUK	22	16	m511	figs-explicit	οὐ μὴ φάγω αὐτὸ	1	I will certainly not eat it	Since Jesus is just about to eat a Passover meal, he means implicitly that he will not eat such a meal again until the later time he describes. Alternate translation: “I will certainly not eat it again” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:16
LUK	22	16	k28r	figs-activepassive	ἕως ὅτου πληρωθῇ ἐν τῇ Βασιλείᾳ τοῦ Θεοῦ	1	until when it is fulfilled in the kingdom of God	If your readers would misunderstand this, you could express this with an active form, and you could state who will do the action. See the discussion in the General Notes to this chapter. This could mean: (1) “until people celebrate this feast in the kingdom of God.” (2) “until God gives this feast its full meaning when he establishes his kingdom.” (3) “until I die as the true Passover sacrifice and establish the kingdom of God.” (See: [[rc://en/ta/man/translate/figs-activepassive]])	LUK 22:16
LUK	22	17	l5e6	figs-metonymy	δεξάμενος ποτήριον	1	he took a cup	Luke is using the term **cup** figuratively to mean what it contained, which was wine. Alternate translation: “Jesus picked up a cup of wine” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:17
LUK	22	17	xvm7	figs-metonymy	διαμερίσατε εἰς ἑαυτούς	1	divide it among yourselves	Jesus meant that the apostles were to divide up the contents of the cup, not the cup itself. Alternate translation: “share the wine that is in this cup among yourselves” or “each of you drink some wine from this cup” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:17
LUK	22	18	h5tl	figs-metonymy	ἀπὸ τοῦ γενήματος τῆς ἀμπέλου	1	of the fruit of the vine	Jesus is referring figuratively to the juice that people squeeze from grapes that grow on grapevines as if it were the **fruit** or grapes themselves. Wine is made from fermented grape juice. Alternate translation: “wine” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:18
LUK	22	18	crv5	figs-personification	ἕως οὗ ἡ Βασιλεία τοῦ Θεοῦ ἔλθῃ	1	until the kingdom of God comes	Jesus is speaking figuratively of the **kingdom of God** as if it could actively come on its own. Alternate translation: “until God establishes his kingdom” (See: [[rc://en/ta/man/translate/figs-personification]])	LUK 22:18
LUK	22	18	m513	figs-abstractnouns	ἕως οὗ ἡ Βασιλεία τοῦ Θεοῦ ἔλθῃ	1	until the kingdom of God comes	See how you decided to translate the phrase **the kingdom of God** in [4:43](../04/43.md). If your readers would misunderstand the abstract noun **kingdom**, you could express the idea behind it with a verb such as “rule.” Alternate translation: “until God begins to rule as king” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])	LUK 22:18
LUK	22	19	nd2m	figs-explicit	ἄρτον	1	bread	Since Jews did not eat bread made with yeast during this festival, this bread would not have had any yeast in it and it would have been flat. Alternate translation: “a loaf of unleavened bread” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:19
LUK	22	19	m516	figs-explicit	καὶ ἔδωκεν αὐτοῖς	1	and gave to them	The implication is that Jesus gave the bread to the disciples to eat. Alternate translation: “and gave it to them to eat” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:19
LUK	22	19	d8r1	figs-metaphor	τοῦτό ἐστιν τὸ σῶμά μου	1	This is my body	See the discussion in the General Notes to this chapter about how to translate this phrase. Christians understand this phrase to be: (1) a metaphor. Alternate translation: “This represents my body” (See: [[rc://en/ta/man/translate/figs-metaphor]]) (2) literal. Alternate translation: “My body is really present in this bread”	LUK 22:19
LUK	22	19	lc9m	figs-activepassive	τὸ ὑπὲρ ὑμῶν διδόμενον	1	which is given for you	If your readers would misunderstand this, you could express this with an active form, and you could state who is doing the action. Alternate translation: “which I am giving for you” (See: [[rc://en/ta/man/translate/figs-activepassive]])	LUK 22:19
LUK	22	19	cxy5	figs-explicit	τοῦτο ποιεῖτε εἰς τὴν ἐμὴν ἀνάμνησιν	1	Do this in my remembrance	Jesus seems to be telling his disciples implicitly that he wants them to re-enact this part of the meal regularly in the future in order to remember him. Alternate translation: “When you meet together, break and share bread like this in order to remember me” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:19
LUK	22	20	m517	figs-ellipsis	καὶ τὸ ποτήριον	1	And the cup	Luke is leaving out some of the words that in many languages a sentence would need in order to be complete. If your readers would misunderstand this, you could supply these words from the previous verse. Alternate translation: “And he took the cup” (See: [[rc://en/ta/man/translate/figs-ellipsis]])	LUK 22:20
LUK	22	20	z3cx	figs-metonymy	τὸ ποτήριον…τοῦτο τὸ ποτήριον	1	the cup … This cup	In each case, the term **cup** figuratively means what the **cup** contained, which was wine. Alternate translation: “the cup of wine … The wine in this cup” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:20
LUK	22	20	gc8h	figs-explicit	ἡ καινὴ διαθήκη ἐν τῷ αἵματί μου	1	the new covenant in my blood	In the Hebrew culture, covenants were customarily ratified through animal sacrifices that involved shedding the blood of the animals. Here, Jesus is likely alluding to that practice in light of his impending sacrificial death. Alternate translation: “the new covenant that will be ratified when I shed my blood” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:20
LUK	22	20	v4d3	figs-activepassive	τὸ ὑπὲρ ὑμῶν ἐκχυννόμενον	1	which is poured out for you	Jesus is referring to the way his blood is going to be **poured out** when he dies. If your readers would misunderstand this, you could express this with an active form. Alternate translation: “which I will pour out for you” (See: [[rc://en/ta/man/translate/figs-activepassive]])	LUK 22:20
LUK	22	21	swj1	figs-metaphor	ἰδοὺ	1	behold	Jesus is using the term **behold** to get his disciples to focus their attention on what he is about to say. Alternate translation: “indeed” (See: [[rc://en/ta/man/translate/figs-metaphor]])	LUK 22:21
LUK	22	21	g6ks	figs-synecdoche	ἡ χεὶρ τοῦ παραδιδόντος με μετ’ ἐμοῦ ἐπὶ τῆς τραπέζης	1	the hand of the one betraying me is with me on the table	Jesus is figuratively using one part of this person, his **hand**, to represent the entire person. There is significance to the part that Jesus chooses. With the same hand with which Judas has just received the bread and wine, he will receive the money for betraying Jesus. Alternate translation: “the man who is going to betray me is sharing this meal with me” (See: [[rc://en/ta/man/translate/figs-synecdoche]])	LUK 22:21
LUK	22	21	m518	figs-metonymy	μετ’ ἐμοῦ ἐπὶ τῆς τραπέζης	1	is with me on the table	Jesus is using the shared location of the **table** figuratively to mean sharing the meal that is being served on the **table**. Alternate translation: “sharing this meal with me” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:21
LUK	22	22	mk3q	figs-123person	ὁ Υἱὸς μὲν τοῦ Ἀνθρώπου…πορεύεται	1	the Son of Man indeed goes	Jesus is speaking about himself in the third person. If your readers would misunderstand this, you could translate this in the first person. Alternate translation: “I, the Son of Man, indeed go” (See: [[rc://en/ta/man/translate/figs-123person]])	LUK 22:22
LUK	22	22	m519	figs-explicit	ὁ Υἱὸς μὲν τοῦ Ἀνθρώπου…πορεύεται	1	the Son of Man indeed goes	See how you translated the title **Son of Man** in [5:24](../05/24.md). Alternate translation: “I, the Messiah, indeed go” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:22
LUK	22	22	m520	figs-euphemism	πορεύεται	1	goes	Jesus is speaking about his impending death in a discreet way. Alternate translation: “is going to die” (See: [[rc://en/ta/man/translate/figs-euphemism]])	LUK 22:22
LUK	22	22	p2qa	figs-activepassive	κατὰ τὸ ὡρισμένον	1	according to what has been determined	If your readers would misunderstand this, you could express this with an active form, and you could state who has done the action. Alternate translation: “as God has determined” (See: [[rc://en/ta/man/translate/figs-activepassive]])	LUK 22:22
LUK	22	22	wy2s	figs-activepassive	δι’ οὗ παραδίδοται	1	through whom he is betrayed	If your readers would misunderstand this, you could express this with an active form. Alternate translation: “who betrays him” or, if you decided to use the first person, “who betrays me” (See: [[rc://en/ta/man/translate/figs-activepassive]])	LUK 22:22
LUK	22	25	m522	figs-explicit	οἱ βασιλεῖς τῶν ἐθνῶν	1	the kings of the nations	Here Jesus assumes that his disciples will know that by **the nations** he means the people groups who are not Jews. Alternate translation: “the kings of the Gentiles” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:25
LUK	22	25	tw4y	figs-irony	εὐεργέται, καλοῦνται	1	are called Benefactors	The subjects of these rulers did not call them this spontaneously and gratefully. Rather, the rulers gave themselves this title, even though they were not really ruling in a way that was good for their subjects, as Jesus says in the first part of this sentence. Jesus is mentioning the title to emphasize how undeserved it is. Alternate translation: “nevertheless give themselves the title of Benefactor” (See: [[rc://en/ta/man/translate/figs-irony]])	LUK 22:25
LUK	22	25	m523	figs-activepassive	καλοῦνται	1	are called	If your readers would misunderstand this, you could express this with an active form, and you could state who is doing the action. Alternate translation: “call themselves” or “give themselves the title” (See: [[rc://en/ta/man/translate/figs-activepassive]])	LUK 22:25
LUK	22	26	m526	figs-nominaladj	ὁ μείζων…ὁ νεώτερος	1	the greater … the younger	Jesus is using the adjectives **greater** and **younger** as nouns to describe types of people. Your language may use adjectives in the same way. If not, you can translate these with equivalent expressions. Alternate translation: “the greatest one … the youngest one” (See: [[rc://en/ta/man/translate/figs-nominaladj]])	LUK 22:26
LUK	22	26	cdq7	figs-metonymy	ὁ νεώτερος	1	the younger	This culture respected older people and followed them as leaders. Jesus is referring figuratively to a person who was less important and influential by association with the fact that this would be the case if they were younger. Alternate translation: “the least important one” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:26
LUK	22	27	jt7r	figs-rquestion	τίς…μείζων, ὁ ἀνακείμενος ἢ ὁ διακονῶν?	1	who is greater, the one who reclines to eat, or the one who serves?	Jesus is using the question form to teach his disciples. If your readers would misunderstand this, you could translate his words as a statement. Alternate translation: “I want you to think about who is greater, the person who is dining, or the who is serving the food.” (See: [[rc://en/ta/man/translate/figs-rquestion]])	LUK 22:27
LUK	22	27	lu3a	figs-rquestion	οὐχὶ ὁ ἀνακείμενος?	1	Is it not the one who reclines to eat?	Jesus is using a further question to teach his disciples. If your readers would misunderstand this, you could translate his words as a statement. Alternate translation: “You must agree that it is the person who is dining.” (See: [[rc://en/ta/man/translate/figs-rquestion]])	LUK 22:27
LUK	22	27	qbn6	figs-explicit	ἐγὼ δὲ ἐν μέσῳ ὑμῶν εἰμι ὡς ὁ διακονῶν	1	But I am in the midst of you as one who serves	Jesus is likely referring to the example that he has set at this meal. This would include serving the bread to the disciples, which Luke describes in [22:19](../22/19.md). [John 13:4-5](../jhn/13/04.md) also records that before this meal, Jesus washed the disciples feet, which a household servant would ordinarily have done. Alternate translation: “But I have been acting like a servant here at this meal with you” (See: [[rc://en/ta/man/translate/figs-explicit]])	LUK 22:27
LUK	22	29	nly5	figs-abstractnouns	κἀγὼ διατίθεμαι ὑμῖν, καθὼς διέθετό μοι ὁ Πατήρ μου βασιλείαν	1	And I grant to you, just as my Father has granted to me, a kingdom	If your readers would misunderstand the abstract noun **kingdom**, you could express the idea behind it with a verb such as “rule.” Alternate translation: “And so I am giving you the authority to rule, just as my Father has done for me” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])	LUK 22:29
LUK	22	30	m528	figs-metonymy	ἵνα ἔσθητε καὶ πίνητε ἐπὶ τῆς τραπέζης μου	1	so that you may eat and drink at my table	Jesus may simply be referring to the way he and his disciples will renew their table fellowship in the kingdom of God, as he described in [22:16](../22/16.md). But he may also be referring figuratively to his disciples becoming important officials in his kingdom, since such officials would have their meals at the king’s **table**. Alternate translation: “so that you may be important officials” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:30
LUK	22	30	m529	figs-abstractnouns	ἐν τῇ βασιλείᾳ μου	1	in my kingdom	If your readers would misunderstand the abstract noun **kingdom**, you could express the idea behind it with a verb such as “rule” and a concrete noun such as “king.” Alternate translation: “when I rule as king” (See: [[rc://en/ta/man/translate/figs-abstractnouns]])	LUK 22:30
LUK	22	30	m530	figs-metonymy	τὰς δώδεκα φυλὰς…τοῦ Ἰσραήλ	1	the 12 tribes of Israel	Here Jesus uses the term **tribes** figuratively to refer to the people who belong to those **tribes**. Alternate translation: “the people of the 12 tribes of Israel” (See: [[rc://en/ta/man/translate/figs-metonymy]])	LUK 22:30
LUK	22	31	m532	figs-metaphor	ἰδοὺ	1	behold	Jesus uses the term **behold** to get Simon to focus his attention on what he is about to say. Alternate translation: “listen” (See: [[rc://en/ta/man/translate/figs-metaphor]])	LUK 22:31
LUK	22	31	qyy7	figs-simile	ἐξῃτήσατο ὑμᾶς τοῦ σινιάσαι ὡς τὸν σῖτον	1	has asked to sift you as wheat	Jesus is using this comparison to say figuratively that Satan wants to put the disciples through difficult experiences in order to show that many of them are not unconditionally loyal to Jesus. You could use this same comparison in your translation, or you could explain its meaning. Alternate translation: “to shake you as if he were separating grain from its husks in a sieve” or “to test you to show that many of you will not stay loyal to me when threatened” (See: [[rc://en/ta/man/translate/figs-simile]])	LUK 22:31
