marker,verse_reference,chapter_number,text,layout_text,pdf_page,printed_page,bbox,bbox_normalized,later_edition_candidates_same_label,exact_match_to_later_edition
*,4:157-158,4,"Jesus, the real person, the soul, was raised in the same manner as in the death of any human being. Subsequently, his enemies tortured and crucified his living, but empty, body. See Appendix 22 and the book “Doctrine Development in Christianity” by Lisa Spray (Renaissance Productions, Tucson, Arizona, 1989).","Jesus, the real person, the soul, was raised in the same manner as in the
death of any human being. Subsequently, his enemies tortured and crucified his living,
but empty, body. See Appendix 22 and the book “Doctrine Development in
Christianity” by Lisa Spray (Renaissance Productions, Tucson, Arizona, 1989).",122,103,"[40.9, 608.598, 478.532, 661.048]","[0.078973, 0.851543, 0.923985, 0.924931]","Jesus, the real person, the soul, was raised in the same manner as in the death of any righteous person. Subsequently, his enemies arrested, tortured, and crucified his living, but empty, body. See Appendices 17 & 22, and the book ""Jesus: Myths and Message"" by Lisa Spray (Universal Unity, Fremont, California, 1992).",False
*,5:2,5,"Hunting and the cutting of plants are forbidden during pilgrimage for the conservation of natural resources. With thousands of pilgrims converging on Mecca, if hunting were permitted, the land would quickly be stripped of its natural resources. Animal offerings are made part of the pilgrimage to provide for the converging pilgrims, as well as the local population, and to replenish any depleted supplies. See 2:196.","Hunting and the cutting of plants are forbidden during pilgrimage for the conser
vation of natural resources. With thousands of pilgrims converging on Mecca, if hunt
ing were permitted, the land would quickly be stripped of its natural resources. Animal
offerings are made part of the pilgrimage to provide for the converging pilgrims, as well
as the local population, and to replenish any depleted supplies. See 2:196.",125,106,"[40.9, 592.048, 477.694, 656.746]","[0.078973, 0.828387, 0.922367, 0.918911]","Hunting and the cutting of plants are forbidden during pilgrimage for the conservation of natural resources. With thousands of pilgrims converging on Mecca, if hunting were permitted, the land would quickly be stripped of its natural resources. Animal offerings are made part of the pilgrimage to provide for the converging pilgrims, as well as the local population, and to replenish any depleted supplies. See 2:196.",False
*,5:3,5,"The “meat” of the pig is prohibited, not the “fat” Anything that is not specifically prohibited in the Quran must be considered lawful. See 6:145-146.","The “meat” of the pig is prohibited, not the “fa t” Anything that is not specifically
prohibited in the Quran must be considered lawful. See 6:145-146.",126,107,"[39.5, 640.148, 478.208, 661.85]","[0.07627, 0.895688, 0.92336, 0.926053]","The ""meat"" of the pig is prohibited, not the ""fat."" Anything that is not specifically prohibited in the Quran must be considered lawful. See 6:145-146.",False
*,5:12,5,"If you fulfill the requirements stated in this verse, God will let you know that He is with you; you will have no doubt about it. Prominent among God’s signs are mathematical signs for those who understand the Quran’s miracle (Appendix 1).","If you fulfill the requirements stated in this verse, God will let you know that He
is with you; you will have no doubt about it. Prominent among God’s signs are mathe
matical signs for those who understand the Quran’s miracle (Appendix 1).",128,109,"[38.75, 622.148, 480.528, 654.43]","[0.074821, 0.870502, 0.927839, 0.915671]","If you fulfill the requirements stated in this verse, God will let you know that He is with you; you will have no doubt about it. Prominent among God's signs are mathematical signs for those who understand the Quran's miracle (Appendix 1).",False
*,5:19,5,"The name of this messenger is mathematically coded into the Quran as “Rashad Khalifa.” This very special verse warrants the presentation of specific evidence. By adding the gematrical value of the name “Rashad” (505), plus the value of the name “Khalifa” (725), plus the number of this sura (5), plus the number of this verse (19). we obtain a total of 505+725+5+19 = 1254, or 19x66. More evidence and specific details are given in Appendix 2.","The name of this messenger is mathematically coded into the Quran as “Rashac
Khalifa.” This very special verse warrants the presentation of specific evidence. By ad
ding the gematrical value of the name “Rashad” (505), plus the value of the name
“Khalifa” (725), plus the number of this sura (5), plus the number of this verse (19).
we obtain a total of 505+725+5+19 = 1254, or 19x66. More evidence and specific
details are given in Appendix 2.",130,111,"[40.7, 575.948, 481.036, 655.746]","[0.078587, 0.80586, 0.92882, 0.917512]","This verse reports the fulfillment of the biblical and Quranic prophecy regarding the advent of God's Messenger of the Covenant (Malachi 3:1, Quran 3:81). The name of this messenger is mathematically coded into the Quran as ""Rashad Khalifa."" This very special verse warrants the presentation of specific evidence. By adding the gematrical value of ""Rashad"" (505), plus the value of ""Khalifa"" (725), plus the sura number (5), plus the verse number (19), we obtain a total of 505+725+5+19 = 1254, or 19x66. Nineteen is the Quran's common denominator, which was revealed through Rashad Khalifa. More evidence and specific details are in Appendix 2.",False
*,5:27-31,5,The names of the two sons involved in this first murder are not relevant. But they are given in the Bible as Abel and Cain. See Genesis 4:2-9.,"The names of the two sons involved in this first murder are not relevant. But
they are given in the Bible as Abel and Cain. See Genesis 4:2-9.",131,112,"[39.7, 643.048, 476.632, 663.376]","[0.076656, 0.899745, 0.920317, 0.928188]",The names of the two sons involved in this first murder are not relevant. But they are given in the Bible as Abel and Cain (Genesis 4:2-9).,False
*,5:38,5,"The practice of cutting off the thief s hand, as decreed by the false Muslims, is a satanic practice without Quranic basis. Due to the special importance of this example, God has provided mathematical proof in support of marking the hand of the thief, rather than severing it Verse 12:31 refers to the women who so admired Joseph that they “cut” their hands. Obviously, they did not “cut off’ their hands; nobody can. The sum of sura and verse numbers are the same for 5:38 and 12:31, i.e., 43. It is also the will and mercy of God that this mathematical relationship conforms with the Quran’s 19-based code. Nineteen verses after 12:31, we see the same word (12:50).","The practice of cutting off the thief s hand, as decreed by the false Muslims, is a
satanic practice without Quranic basis. Due to the special importance of this example,
God has provided mathematical proof in support of marking the hand of the theif,
rather than severing it Verse 12:31 refers to the women who so admired Joseph that
they “cut” their hands. Obviously, they did not “cut off’ their hands; nobody can. The
sum of sura and verse numbers are the same for 5:38 and 12:31, i.e., 43. It is also the
will and mercy of God that this mathematical relationship conforms with the Quran’s
19-based code. Nineteen verses after 12:31, we see the same word (12:50).",133,114,"[41.15, 564.698, 477.128, 661.902]","[0.079455, 0.790119, 0.921274, 0.926126]","The practice of cutting off the thief's hand, as decreed by the false Muslims, is a satanic practice without Quranic basis. Due to the special importance of this example, God has provided mathematical proof in support of marking the hand of the thief, rather than severing it. Verse 12:31 refers to the women who so admired Joseph that they ""cut"" their hands. Obviously, they did not ""cut off"" their hands; nobody can. The sum of sura and verse numbers are the same for 5:38 and 12:31, i.e., 43. It is also the will and mercy of God that this mathematical relationship conforms with the Quran's 19-based code. Nineteen verses after 12:31, we see the same word (12:50).",False
*,5:51,5,"Relations with other people are governed by the basic rule in 5:57 & 60:8-9. The Jews and Christians who cannot be friends are specifically mentioned in 5:57; they are the ones who mock and ridicule the believers, or attack them.","Relations with other people are governed by the basic rule in 5:57 & 60:8-9. The
Jews and Christians who cannot be friends are specifically mentioned in 5:57; they are
the ones who mock and ridicule the believers, or attack them.",136,117,"[40.2, 628.548, 478.5, 660.59]","[0.077621, 0.879457, 0.923924, 0.92429]","Relations with other people are governed by the basic rule in 5:57 & 60:8-9. The Jews and Christians who cannot be friends are specifically mentioned in 5:57; they are the ones who mock and ridicule the believers, or attack them.",True
*,5:72-76,5,"Many theologians have concluded, after careful research, that today’s Christianity is not the same Christianity taught by Jesus. Two outstanding books on this subject are “The Myth of God Incarnate” (The Westminster Press, Philadelphia, 1977) and The “Mythmaker” (Harper & Row, New York, 1986). On the front jacket of “The Mythmaker” we read the following statement: “...Hyam Maccoby presents new arguments to support the view that Paul, not Jesus, was the founder of Christianity....it was Paul alone who created a new religion through his vision of Jesus as a divine Saviour who died to save humanity.”","Many theologians have concluded, after careful research, that today’s Chris
tianity is not the same Christianity taught by Jesus. Two outstanding books on this
subject are “The Myth of God Incarnate” (The Westminster Press, Philadelphia, 1977)
and The “Mythmaker” (Harper & Row, New York, 1986). On the front jacket of “The
Mythmaker” we read the following statement: “...Hyam Maccoby presents new argu
ments to support the view that Paul, not Jesus, was the founder of Christianity....it was
Paul alone who created a new religion through his vision of Jesus as a divine Saviour who
died to save humanity.”",139,120,"[40.7, 557.748, 479.175, 659.577]","[0.078587, 0.780395, 0.925227, 0.922873]","In John 20:17, we see that Jesus taught that he was neither God, nor the son of God. Many theologians have concluded, after careful research, that today's Christianity is not the same Christianity taught by Jesus. Two outstanding books on this subject are ""The Myth of God Incarnate"" (The Westminster Press, Philadelphia, 1977) and ""The Mythmaker"" (Harper & Row, New York, 1986). On the front jacket of ""The Mythmaker"" we read the following statement: ""...Hyam Maccoby presents new arguments to support the view that Paul, not Jesus, was the founder of Christianity....it was Paul alone who created a new religion through his vision of Jesus as a divine Saviour who died to save humanity.""",False
*,5:97,5,The idol-worshiping Muslims have instituted two “Sacred Mosques” by consecrating the Prophet’s tomb. The Quran talks only about one Sacred Mosque.,"The idol-worshiping Muslims have instituted two “Sacred Mosques” by con
secrating the Prophet’s tomb. The Quran talks only about one Sacred Mosque.",143,124,"[40.7, 635.948, 477.636, 661.048]","[0.078587, 0.889811, 0.922255, 0.924931]","The idol-worshiping Muslims have instituted two ""Sacred Masjids"" by consecrating the Prophet's tomb. The Quran talks only about one Sacred Masjid.",False
*,5:114-115,5,"The Quran’s overwhelming miracle (Appendix 1) is described in 74:35 as “One of the greatest miracles, ” and brings with it an uncommonly great responsibility.","The Quran’s overwhelming miracle (Appendix 1) is described in 74:35 as
“One of the greatest miracles, ” and brings with it an uncommonly great responsibility.",146,127,"[39.7, 612.948, 478.778, 636.083]","[0.076656, 0.85763, 0.92446, 0.89]","The Quran's overwhelming miracle (Appendix 1) is described in 74:35 as ""One of the greatest miracles,"" and brings with it an uncommonly great responsibility.",False
*,5:116,5,It is noteworthy that the Quran consistently calls Jesus “son of Mary” and the Bible calls him “son of man. ” God knew that they will call him “son of God!”,"It is noteworthy that the Quran consistently calls Jesus “son of Mary” and the
Bible calls him “son of man. ” God knew that they will call him “son of God!”",146,127,"[39.7, 636.083, 478.778, 659.218]","[0.076656, 0.89, 0.92446, 0.92237]","It is noteworthy that the Quran consistently calls Jesus ""son of Mary"" and the Bible calls him ""son of man."" God knew that some will blaspheme and call him ""son of God""!",False
*,6:19,6,"This verse proclaims the Quran as the only source of religious guidance. Those who uphold additional sources, such as Hadith & Sunna, are defined as idolators.","This verse proclaims the Quran as the only source of religious guidance. Those
who uphold additional sources, such as Hadith & Sunna, are defined as idolators.",149,130,"[42.35, 627.798, 477.541, 652.998]","[0.081773, 0.878408, 0.922072, 0.913667]","This verse proclaims the Quran as the only source of religious guidance. Those who uphold additional sources, such as Hadith & Sunna (lies attributed to the Prophet), are defined as idolators.",False
*,6:23,6,"Now and forever, the idol worshipers vehemently deny that they are idolators.","Now and forever, the idol worshipers vehemently deny that they are idolators.",149,130,"[41.4, 654.098, 473.34, 663.866]","[0.079938, 0.915206, 0.91396, 0.928874]","Now and forever, the idol worshipers vehemently deny that they are idolators.",True
*,6:28,6,"This is because as soon as we enter into our worldly dimension, we become totally unaware of events in the dimension of souls, where God and His angels, anc Heaven and Hell, can be seen. Thus, the guilty will not change their behavior, even after seeing the eternal dimension.","This is because as soon as we enter into our worldly dimension, we become
totally unaware of events in the dimension of souls, where God and His angels, anc
Heaven and Hell, can be seen. Thus, the guilty will not change their behavior, even
after seeing the eternal dimension.",150,231,"[39.7, 608.148, 478.348, 660.198]","[0.076656, 0.850914, 0.92363, 0.923741]","This is because as soon as we enter into our worldly dimension, we become totally unaware of events in the dimension of souls, where God and His angels, and Heaven and Hell, can be seen. Thus, the guilty will not change their behavior, even after seeing that eternal dimension.",False
*,6:38,6,"All information relevant to our eternal life of the Hereafter is contained in the Quran. The true believers accept, without hesitation, God’s assertion: “We did not leave anything out of this book. ” The importance of this statement, and similar statements, is reflected in the fact that each of them consists of 19 Arabic letters (App. 19).","All information relevant to our eternal life of the Hereafter is contained in the
Quran. The true believers accept, without hesitation, God’s assertion: “We did not
leave anything out of this book. ” The importance of this statement, and similar state
ments, is reflected in the fact that each of them consists of 19 Arabic letters (App. 19).",151,132,"[40.7, 596.748, 478.376, 648.346]","[0.078587, 0.834963, 0.923684, 0.907158]","Animals were among the creatures who took advantage of God's offer to repent after committing the original sin (see the Introduction).

±±6:38 All information relevant to our eternal life of the Hereafter is contained in the Quran. The true believers accept, without hesitation, God's assertion: ""We did not leave anything out of this book."" The importance of this statement, and similar statements, is reflected in the fact that each of them consists of 19 Arabic letters (Appendix 19).",False
*,6:44,6,"Before the guilty are thrown out the window, they are taken up to a high floor.","Before the guilty are thrown out the window, they are taken up to a high floor.",151,132,"[40.45, 657.198, 473.002, 666.133]","[0.078104, 0.919544, 0.913308, 0.932046]","Before the guilty are thrown out the window, they are taken up to a high floor.",True
*,6:92,6,"Today’s “most important community” is America, where God’s message is being restored. When the Quran was revealed, Mecca was the most important community.","Today’s “most important community” is America, where God’s message is being
restored. When the Quran was revealed, Mecca was the most important community.",158,139,"[38.75, 634.398, 478.136, 659.748]","[0.074821, 0.887642, 0.923221, 0.923112]","Today's ""most important community"" is America, where God's message is being restored. When the Quran was revealed, Mecca was the most important community.",False
*,6:113-115,6,Upholding any source besides the Quran reflects disbelief in the Quran.,Upholding any source besides the Quran reflects disbelief in the Quran.,161,142,"[43.1, 649.398, 452.42, 661.398]","[0.083221, 0.90863, 0.873566, 0.92542]",,False
*,6:121,6,Dietary prohibitions instituted by other than God represent idolatry.,Dietary prohibitions instituted by other than God represent idolatry.,162,143,"[39.5, 605.248, 478.994, 618.423]","[0.07627, 0.846856, 0.924877, 0.86529]",Dietary prohibitions instituted by other than God represent idolatry.,True
*,6:124,6,"Jealousy and ego are human traits that provoke some people to question God’s wisdom in selecting His messengers. Every messenger was ridiculed by the disbelievers (21:36, 25:41, 43:31).","Jealousy and ego are human traits that provoke some people to question God’s
wisdom in selecting His messengers. Every messenger was ridiculed by the disbelievers
(21:36, 25:41, 43:31).",162,143,"[39.5, 618.423, 478.994, 657.948]","[0.07627, 0.86529, 0.924877, 0.920593]",Jealousy and ego are human traits that provoke some people to question God's wisdom in selecting His messengers. Corrupted Muslim scholars have uttered this same utterance regarding the revelation of the Quran's mathematical code through God's Messenger of the Covenant.,False
*,6:125,6,"Centuries after the revelation of the Quran, we learned that the proportion of oxygen diminishes as we climb towards the sky, and our chests gasp for air.","Centuries after the revelation of the Quran, we learned that the proportion of
oxygen diminishes as we climb towards the sky, and our chests gasp for air.",163,144,"[41.15, 635.848, 478.143, 656.226]","[0.079455, 0.889671, 0.923234, 0.918184]","Centuries after the revelation of the Quran, we learned that the proportion of oxygen diminishes as we climb towards the sky, and we gasp for air.",False
*,6:137,6,"A perfect example is the internationally infamous incident of the execution of a Saudi Arabian princess in 1978 for alleged adultery. God’s law institutes whipping; not execution, as a punishment for adultery (24:1-2), while the idolatrous laws stipulate execution. As pointed out in 42:21, the traditionalists follow a religion that is not authorized by God.","A perfect example is the internationally infamous incident of the execution of a
Saudi Arabian princess in 1978 for alleged adultery. God’s law institutes whipping; not
execution, as a punishment for adultery (24:1-2), while the idolatrous laws stipulate
execution. As pointed out in 42:21, the traditionalists follow a religion that is not
authorized by God.",164,145,"[37.799, 597.698, 478.948, 655.261]","[0.072985, 0.836292, 0.924789, 0.916834]","A perfect example is the internationally infamous incident of the execution of a Saudi Arabian princess in 1978 for alleged adultery. God's law institutes whipping, not execution, as a punishment for adultery (24:1-2), while the idolatrous laws stipulate execution. As pointed out in 42:21, the traditionalists follow a religion that is not authorized by God.",False
*,6:141,6,"Zakat charity is so important, the Most Merciful has restricted His mercy to those who give it (7:156). Yet, the Muslim world has lost this commandment; they give Zakat only once a year. We see here that Zakat must be given away “the day we receive income.” The proportion that came to us through Abraham is 2.5% of our net income.","Zakat charity is so important, the Most Merciful has restricted His mercy to
those who give it (7:156). Yet, the Muslim world has lost this commandment; they give
Zakat only once a year. We see here that Zakat must be given away “the day we receive
income.” The proportion that came to us through Abraham is 2.5% of our net income.",165,146,"[41.15, 612.698, 477.279, 658.335]","[0.079455, 0.85728, 0.921566, 0.921135]","Zakat charity is so important, the Most Merciful has restricted His mercy to those who give it (7:156). Yet, the corrupted Muslims have lost this most important commandment; they give Zakat only once a year. We see here that Zakat must be given away ""On the day we receive income."" The proportion that came to us through Abraham is 2.5% of our net income.",False
*,6:145-146,6,"Only four kinds of animal products are prohibited: animals that die of themselves, running blood (not trapped within the meat), the meat of pigs, and animals dedicated to other than their Creator. Verse 146 informs us that such prohibitions an very specific; God prohibits either,(the meat” or “the fat, ” or both, if He so wills.","Only four kinds of animal products are prohibited: animals that die of them
selves, running blood (not trapped within the meat), the meat of pigs, and animali
dedicated to other than their Creator. Verse 146 informs us that such prohibitions an
very specific; God prohibits either,(the meat” or “the fat, ” or both, if He so wills.",166,147,"[39.7, 606.098, 480.814, 657.946]","[0.076656, 0.848045, 0.928392, 0.92059]","Only four kinds of animal products are prohibited: animals that die of themselves, running blood (not trapped within the meat), the meat of pigs, and animals dedicated to other than their Creator. Verse 146 informs us that such prohibitions are very specific; God prohibits either ""the meat"" or ""the fat,"" or both, if He so wills.",False
*,6:149,6,"The Quran’s mathematical code is a tangible and utterly incontrovertible proof that this is God’s message to the world. It takes divine intervention to prevent any reader from appreciating this extraordinary phenomenon, then falling prostrate, and accepting this overwhelming miracle (see 17:45-46, 18:57, 56:79, and Appendix One).","The Quran’s mathematical code is a tangible and utterly incontrovertible proof
that this is God’s message to the world. It takes divine intervention to prevent any
reader from appreciating this extraordinary phenomenon, then falling prostrate, and
accepting this overwhelming miracle (see 17:45-46, 18:57, 56:79, and Appendix One).",167,148,"[40.7, 620.348, 477.862, 664.885]","[0.078587, 0.867984, 0.922692, 0.930299]","The Quran's mathematical code is a tangible and utterly incontrovertible proof that this is God's message to the world. It takes divine intervention to prevent any reader from appreciating this extraordinary phenomenon, then falling prostrate, and accepting this overwhelming miracle (see 17:45-46, 18:57, 56:79, and Appendix One).",False
*,6:158,6,"After believing, the soul must grow and develop through the worship practices prescribed by God.","After believing, the soul must grow and develop through the worship practices
prescribed by God.",169,150,"[41.65, 635.498, 478.055, 657.65]","[0.080421, 0.889181, 0.923064, 0.920176]","After believing, the soul must grow and develop through the worship practices prescribed by God.",True
*,7:1,7,See Appendix 1 for the role of these initials in the Quran’s mathematical miracle. *7-9 Failing to heed our Creator leads to starvation and eventual “loss” of the soul.,"See Appendix 1 for the role of these initials in the Quran’s mathematical miracle.
*7-9 Failing to heed our Creator leads to starvation and eventual “loss” of the soul.",170,151,"[39.7, 639.548, 475.672, 660.575]","[0.076656, 0.894848, 0.918463, 0.924269]",See Appendix 1 for the role of these initials in the Quran's mathematical miracle.,False
*,7:16,7,"Satan is a proven liar, and so are his constituents (see 2:36, 6:22-23, & 7:20).","Satan is a proven liar, and so are his constituents (see 2:36, 6:22-23, & 7:20).",171,152,"[40.2, 660.948, 473.139, 670.083]","[0.077621, 0.924791, 0.913572, 0.937572]","Satan is a proven liar, and so are his constituents (see 2:36, 6:22-23, & 7:20).",True
*,7:46-49,7,"Initially, there will be 4 places: (1) the High Heaven, (2) the Lower Heaven, (3) the Purgatory, and (4) Hell. The Purgatory will be annexed into the Lower Heaven.","Initially, there will be 4 places: (1) the High Heaven, (2) the Lower Heaven,
(3) the Purgatory, and (4) Hell. The Purgatory will be annexed into the Lower Heaven.",175,156,"[41.4, 637.048, 473.392, 658.746]","[0.079938, 0.89135, 0.914061, 0.92171]","Initially, there will be 4 places: (1) the High Heaven, (2) the Lower Heaven, (3) the Purgatory, and (4) Hell. The Purgatory will be annexed into the Lower Heaven.",True
*,7:54,7,The six days of creation are allegorical; they serve as a yardstick to let us know the relative complexity of our planet Earth—it was created in “4 days” (see 41:10).,"The six days of creation are allegorical; they serve as a yardstick to let us know
the relative complexity of our planet Earth—it was created in “4 days” (see 41:10).",176,157,"[38.5, 644.148, 477.892, 665.946]","[0.074339, 0.901284, 0.92275, 0.931784]","The six days of creation are allegorical; they serve as a yardstick to let us know the relative complexity of our infinitesimal planet Earth—it was created in ""4 days"" (see 41:10).",False
*,7:102,7,"“We” here includes the humans. This life is our last chance to redeem ourselves, but most people are proven to be stubbornly evil (see the INTRODUCTION).","“We” here includes the humans. This life is our last chance to redeem oursel
ves, but most people are proven to be stubbornly evil (see the INTRODUCTION).",182,163,"[38.5, 636.348, 480.732, 658.021]","[0.074339, 0.890371, 0.928233, 0.920695]","This life is our last chance to redeem ourselves, but most people are proven to be stubbornly rebellious and evil (see the INTRODUCTION).",False
*,7:142,7,"The manner in which these numbers are mentioned is significant. As detailed in Appendix 1, all the numbers mentioned in the Quran add up to 162146, 19x8534.","The manner in which these numbers are mentioned is signiffcant. As detailed in
Appendix 1, all the numbers mentioned in the Quran add up to 162146, 19x8534.",186,167,"[38.3, 643.748, 478.004, 665.571]","[0.073953, 0.900725, 0.922966, 0.931259]","The manner in which these numbers are mentioned is significant. As detailed in Appendix 1, all the numbers mentioned in the Quran add up to 162146, 19x8534.",False
*,7:148,7,How the golden calf acquired the sound of a calf is explained in 20:96.,How the golden calf acquired the sound of a calf is explained in 20:96.,187,168,"[39.95, 653.148, 475.401, 663.08]","[0.077138, 0.913877, 0.91794, 0.927774]",How the golden calf acquired the sound of a calf is explained in Footnote 20:96.,False
*,7:156,7,"The importance of the obligatory charity (Zakat) cannot be over emphasized. As instituted in 6:141, Zakat must be given away upon receiving any income—2.5% of one’s net income must be given to the parents, the relatives, the orphans, the poor, and the traveling alien, in this order (see 2:215).","The importance of the obligatory charity (Zakat) cannot be over emphasized. As
instituted in 6:141, Zakat must be given away upon receiving any income—2.5% of
one’s net income must be given to the parents, the relatives, the orphans, the poor, and
the traveling alien, in this order (see 2:215).",189,170,"[40.2, 595.548, 477.751, 647.498]","[0.077621, 0.833284, 0.922477, 0.905972]","The importance of the obligatory charity (Zakat) cannot be over emphasized. As instituted in 6:141, Zakat must be given away upon receiving any income—2.5% of one's net income must be given to the parents, the relatives, the orphans, the poor, and the traveling alien, in this order (see 2:215).",False
*,7:157,7,Muhammad is prophesied in Deuteronomy 18:15-19 and John 14:16-17 & 16:13.,Muhammad is prophesied in Deuteronomy 18:15-19 and John 14:16-17 & 16:13.,189,170,"[39.7, 648.698, 475.408, 657.883]","[0.076656, 0.907651, 0.917953, 0.920502]",Muhammad is prophesied in Deuteronomy 18:15-19 and John 14:16-17 & 16:13.,True
*,7:172,7,"Thus, every human being is born with an instinctive knowledge about God.","Thus, every human being is born with an instinctive knowledge about God.",192,173,"[39.7, 636.198, 472.624, 648.873]","[0.076656, 0.890161, 0.912578, 0.907896]","Thus, every human being is born with an instinctive knowledge about God.",True
*,7:174,7,This life is our last chance to return to God’s Kingdom (See INTRODUCTION).,This life is our last chance to return to God’s Kingdom (See INTRODUCTION).,192,173,"[39.7, 648.873, 472.624, 661.548]","[0.076656, 0.907896, 0.912578, 0.92563]",This life is our last chance to return to God's Kingdom (See INTRODUCTION).,False
*,7:187,7,"This right time to reveal this information was predestined to be 1980 A.D., through God's Messenger of the Covenant (See 15:87, 72:27, and Appendices 2 & 11).","This right time to reveal this information was predestined to be 1980 A.D.,
through God's Messenger of the Covenant (See 15:87, 72:27, and Appendices 2 & 11).",193,174,"[41.15, 622.148, 476.162, 647.498]","[0.079455, 0.870502, 0.919409, 0.905972]","The right time to reveal this information was predestined to be 1980 A.D., through God's Messenger of the Covenant (See 15:87, 72:27, and Appendices 2 & 11).

±±7:187 The ""Hour"" comes ""suddenly"" only to the disbelievers (See Appendix 11).",False
**,7:187,7,The “Hour” comes “suddenly” only to the disbelievers (See Appendix 11).,The “Hour” comes “suddenly” only to the disbelievers (See Appendix 11).,193,174,"[42.1, 650.348, 449.428, 662.348]","[0.08129, 0.909959, 0.867789, 0.92675]","The right time to reveal this information was predestined to be 1980 A.D., through God's Messenger of the Covenant (See 15:87, 72:27, and Appendices 2 & 11).

±±7:187 The ""Hour"" comes ""suddenly"" only to the disbelievers (See Appendix 11).",False
*,7:205,7,"Your god is whoever or whatever occupies your mind most of the day. This explains the fact that most of those who believe in God are destined for Hell (See 12:106, 23:84-90, and Appendix 27).","Your god is whoever or whatever occupies your mind most of the day. This
explains the fact that most of those who believe in God are destined for Hell (See
12:106, 23:84-90, and Appendix 27).",195,176,"[41.15, 624.348, 476.344, 662.598]","[0.079455, 0.873581, 0.919761, 0.927099]","Your god is whoever or whatever occupies your mind most of the day. This explains the fact that most of those who believe in God are destined for Hell (See 12:106, 23:84-90, and Appendix 27).",True
*,8:12-16,8,All wars are governed by the basic rule in 60:8-9.,All wars are governed by the basic rule in 60:8-9.,197,178,"[41.9, 648.348, 327.86, 660.348]","[0.080904, 0.907161, 0.633057, 0.923951]",All wars are governed by the basic rule in 60:8-9.,True
*,8:17,8,"Believing in God necessitates believing in His qualities, one of which is that He is doing everything. Without knowing God, there is no belief (23:84-90). Bad things are incurred by us, and executed by Satan, in accordance with God’s laws (4:78-79, 42:30).","Believing in God necessitates believing in His qualities, one of which is that He is
doing everything. Without knowing God, there is no belief (23:84-90). Bad things are
incurred by us, and executed by Satan, in accordance with God’s laws (4:78-79, 42:30).",198,,"[37.549, 627.798, 478.404, 666.448]","[0.072502, 0.878408, 0.923738, 0.932486]","Believing in God necessitates believing in His qualities, one of which is that He is doing everything. Without knowing God, there is no belief (23:84-90). Bad things are incurred by us, and executed by Satan, in accordance with God's laws (4:78-79, 42:30).",False
*,8:35,8,"All religious practices in Islam came to us through Abraham, many centuries before the Quran (21:73, 22:78).","All religious practices in Islam came to us through Abraham, many centuries
before the Quran (21:73, 22:78).",200,181,"[40.2, 631.148, 478.018, 657.198]","[0.077621, 0.883095, 0.922993, 0.919544]","All religious practices in Islam came to us through Abraham; when the Quran was revealed, all rites in ""Submission"" were already in existence (21:73, 22:78).",False
*,9:1,9,"The absence of Basmalah from this sura is not only a profound sign from the Almighty Author of the Quran that this sura has been tampered with, but also represents an awesome miracle in its own right. See the details in Appendices 24 & 29.","The absence of Basmalah from this sura is not only a profound sign from the
Almighty Author of the Quran that this sura has been tampered with, but also repre
sents an awesome miracle in its own right. See the details in Appendices 24 & 29.",206,187,"[39.25, 625.048, 480.502, 658.261]","[0.075787, 0.87456, 0.927789, 0.921031]","The absence of Basmalah from this sura is not only a profound sign from the Almighty Author of the Quran that this sura has been tampered with, but also represents an awesome miracle in its own right. See the details in Appendices 24 & 29.

±9:1 & ±9:127 This is the only sura that is not prefixed with the Basmalah. This phenomenon has puzzled the students of the Quran for 14 centuries, and many theories were advanced to explain it. Now we realize that the conspicuous absence of the Basmalah serves three purposes: (1) It represents an advance divine proclamation that the idol worshipers were destined to tamper with the Quran by adding 2 false verses (9:128-129). (2) It demonstrates one of the functions of God's mathematical code in the Quran, namely, to guard the Quran against any alteration. (3) It provides additional miraculous features of the Quran's code. Due to their extraordinary importance, the details are given in Appendices 24 and 29. One immediate observation is that the number of occurrences of the word ""God"" at the end of Sura 9 is 1273 (19x67). If the two false verses 128 & 129 are included, this phenomenon—and many more—will vanish.",False
*,9:33,9,"This statement is mentioned three times in the Quran—9:33, 48:28, and 61:9. There is evidence that these three occurrences refer to the “Three Messengers of Islam” (Abraham, Muhammad, and Rashad). See Appendices 1, 2, and 26..","This statement is mentioned three times in the Quran—9:33, 48:28, and 61:9.
There is evidence that these three occurrences refer to the “Three Messengers of
Islam” (Abraham, Muhammad, and Rashad). See Appendices 1, 2, and 26..",211,192,"[41.4, 603.798, 477.816, 641.948]","[0.079938, 0.844827, 0.922603, 0.898206]","This statement, letter for letter, occurs here and in 61:9. If we write down the gematrical value of ""Rashad"" (505), followed by the value of ""Khalifa"" (725), followed by the sura and verse numbers where this statement occurs (9:33 & 61:9), we get 505 725 9 33 61 9, a multiple of 19. This confirms that the messenger here is Rashad Khalifa. Additionally, the number of verses from 9:33 to 61:9 (3902)+9+33+61+9+the value of ""Rashad Khalifa"" (1230) gives 5244, also a multiple of 19. The gematrical value of 9:33 & 61:9, calculated by adding the values of every letter, is 7858. By adding this number, plus the number of letters in the two verses (120), plus the number of verses from 9:33 to 61:9 (3902), plus the value of ""Rashad Khalifa"" (1230), we get 7858+120+3902+1230 = 13110 = 19x690. See Appendices 1, 2, and 26.",False
